 

stn;time;tso010d0;tso020d0;tso005d0
FAH;20170101;1.6;2.3;0.8
FAH;20170102;1.5;2.0;0.7
FAH;20170103;1.6;1.9;0.9
FAH;20170104;1.8;2.0;1.2
FAH;20170105;2.1;2.2;1.6
FAH;20170106;2.0;2.3;1.4
FAH;20170107;1.6;2.1;0.8
FAH;20170108;1.8;2.0;1.2
FAH;20170109;2.2;2.3;1.7
FAH;20170110;2.4;2.4;2.0
FAH;20170111;2.6;2.6;2.1
FAH;20170112;2.7;2.6;2.4
FAH;20170113;2.9;2.8;2.5
FAH;20170114;2.8;2.8;2.3
FAH;20170115;2.5;2.6;2.0
FAH;20170116;2.3;2.5;1.6
FAH;20170117;1.9;2.3;1.2
FAH;20170118;1.8;2.1;1.1
FAH;20170119;1.7;2.0;1.0
FAH;20170120;1.2;1.7;0.5
FAH;20170121;0.9;1.4;0.1
FAH;20170122;0.7;1.2;0.0
FAH;20170123;0.5;1.0;-0.2
FAH;20170124;0.3;0.8;-0.4
FAH;20170125;0.2;0.6;-0.6
FAH;20170126;0.0;0.5;-0.9
FAH;20170127;-0.2;0.3;-0.8
FAH;20170128;-0.1;0.3;-0.5
FAH;20170129;0.0;0.3;-0.4
FAH;20170130;0.0;0.3;-0.3
FAH;20170131;0.1;0.2;-0.3
FAH;20170201;0.2;0.3;-0.2
FAH;20170202;0.8;0.7;0.7
FAH;20170203;2.3;1.6;2.5
FAH;20170204;2.7;2.3;2.5
FAH;20170205;2.6;2.4;2.3
FAH;20170206;3.1;2.7;2.9
FAH;20170207;3.3;3.0;3.1
FAH;20170208;3.7;3.3;3.4
FAH;20170209;3.5;3.3;3.0
FAH;20170210;3.0;3.0;2.6
FAH;20170211;3.6;3.1;3.4
FAH;20170212;4.1;3.6;3.8
FAH;20170213;3.6;3.5;3.0
FAH;20170214;3.4;3.2;3.0
FAH;20170215;3.8;3.5;3.7
FAH;20170216;4.3;3.8;4.2
FAH;20170217;4.9;4.3;4.8
FAH;20170218;4.4;4.1;3.9
FAH;20170219;4.1;3.9;3.7
FAH;20170220;4.4;4.0;4.2
FAH;20170221;5.3;4.5;5.4
FAH;20170222;5.9;5.1;5.8
FAH;20170223;5.7;5.1;5.5
FAH;20170224;5.7;5.2;5.3
FAH;20170225;5.0;4.8;4.6
FAH;20170226;4.9;4.7;4.5
FAH;20170227;5.0;4.6;4.8
FAH;20170228;4.7;4.7;4.1
FAH;20170301;4.3;4.1;3.9
FAH;20170302;5.2;4.6;5.1
FAH;20170303;5.2;4.7;4.9
FAH;20170304;5.3;4.9;5.0
FAH;20170305;5.3;4.9;4.9
FAH;20170306;5.0;4.8;4.6
FAH;20170307;5.1;4.7;4.8
FAH;20170308;5.0;4.7;4.6
FAH;20170309;6.1;5.2;6.1
FAH;20170310;6.9;5.9;7.0
FAH;20170311;6.7;6.1;6.5
FAH;20170312;7.0;6.3;6.9
FAH;20170313;7.2;6.5;7.1
FAH;20170314;7.2;6.5;7.0
FAH;20170315;7.3;6.6;7.1
FAH;20170316;7.8;6.9;7.9
FAH;20170317;8.1;7.2;8.0
FAH;20170318;7.8;7.2;7.4
FAH;20170319;7.9;7.1;7.8
FAH;20170320;8.4;7.5;8.3
FAH;20170321;8.4;7.7;8.1
FAH;20170322;7.9;7.4;7.5
FAH;20170323;8.1;7.4;8.0
FAH;20170324;8.5;7.8;8.2
FAH;20170325;8.5;7.8;8.3
FAH;20170326;8.6;7.9;8.4
FAH;20170327;8.9;8.1;8.8
FAH;20170328;9.2;8.4;9.2
FAH;20170329;9.6;8.6;9.6
FAH;20170330;9.9;8.9;9.9
FAH;20170331;10.1;9.2;10.1
FAH;20170401;10.0;9.2;9.8
FAH;20170402;9.9;9.1;9.7
FAH;20170403;10.3;9.3;10.4
FAH;20170404;10.6;9.7;10.5
FAH;20170405;10.3;9.6;10.1
FAH;20170406;10.1;9.5;9.7
FAH;20170407;9.9;9.3;9.6
FAH;20170408;10.5;9.6;10.4
FAH;20170409;11.1;10.0;11.3
FAH;20170410;11.5;10.4;11.5
FAH;20170411;11.3;10.5;11.1
FAH;20170412;11.0;10.3;10.7
FAH;20170413;11.2;10.4;11.0
FAH;20170414;11.0;10.3;10.7
FAH;20170415;10.5;10.1;10.1
FAH;20170416;10.1;9.7;9.7
FAH;20170417;9.6;9.3;8.9
FAH;20170418;9.3;9.0;8.7
FAH;20170419;8.6;8.7;7.8
FAH;20170420;8.1;8.3;7.2
FAH;20170421;8.5;8.2;8.0
FAH;20170422;9.0;8.6;8.7
FAH;20170423;9.7;9.0;9.4
FAH;20170424;10.0;9.3;9.8
FAH;20170425;10.4;9.8;9.9
FAH;20170426;8.6;8.8;7.7
FAH;20170427;7.6;7.8;6.8
FAH;20170428;7.8;7.6;7.3
FAH;20170429;8.6;8.0;8.4
FAH;20170430;9.8;8.8;9.8
FAH;20170501;10.2;9.5;9.7
FAH;20170502;9.9;9.3;9.5
FAH;20170503;10.3;9.5;10.0
FAH;20170504;10.5;9.7;10.2
FAH;20170505;11.0;10.0;11.0
FAH;20170506;11.3;10.5;11.0
FAH;20170507;10.9;10.3;10.5
FAH;20170508;10.2;9.9;9.7
FAH;20170509;10.4;9.8;10.0
FAH;20170510;11.2;10.2;11.3
FAH;20170511;12.5;11.2;12.5
FAH;20170512;12.6;11.6;12.5
FAH;20170513;12.9;11.9;12.8
FAH;20170514;13.2;12.1;13.0
FAH;20170515;13.9;12.6;14.0
FAH;20170516;14.6;13.2;14.7
FAH;20170517;15.4;13.8;15.6
FAH;20170518;15.8;14.4;15.9
FAH;20170519;14.6;14.1;14.0
FAH;20170520;13.4;13.0;12.8
FAH;20170521;13.6;12.8;13.5
FAH;20170522;14.7;13.4;14.9
FAH;20170523;15.6;14.2;15.8
FAH;20170524;16.3;14.8;16.4
FAH;20170525;16.7;15.3;16.7
FAH;20170526;16.7;15.4;16.7
FAH;20170527;17.5;15.8;17.9
FAH;20170528;18.7;16.7;19.2
FAH;20170529;19.2;17.4;19.5
FAH;20170530;19.1;17.6;19.2
FAH;20170531;18.9;17.5;19.0
FAH;20170601;19.2;17.7;19.3
FAH;20170602;19.0;17.7;19.0
FAH;20170603;18.6;17.5;18.4
FAH;20170604;17.6;16.9;17.2
FAH;20170605;17.6;16.6;17.4
FAH;20170606;16.8;16.4;16.1
FAH;20170607;15.7;15.5;15.0
FAH;20170608;16.4;15.5;16.4
FAH;20170609;17.2;16.2;17.0
FAH;20170610;18.3;16.7;18.5
FAH;20170611;19.3;17.6;19.5
FAH;20170612;19.5;18.1;19.4
FAH;20170613;19.2;17.9;19.1
FAH;20170614;19.5;18.2;19.4
FAH;20170615;20.1;18.6;20.3
FAH;20170616;20.0;18.8;19.7
FAH;20170617;18.9;18.2;18.4
FAH;20170618;18.9;18.0;18.6
FAH;20170619;19.8;18.4;20.0
FAH;20170620;21.0;19.3;21.2
FAH;20170621;21.5;19.8;21.6
FAH;20170622;21.6;20.0;21.8
FAH;20170623;21.9;20.3;22.0
FAH;20170624;21.2;20.1;20.9
FAH;20170625;20.3;19.5;20.0
FAH;20170626;20.5;19.3;20.5
FAH;20170627;20.7;19.5;20.5
FAH;20170628;19.8;19.2;19.2
FAH;20170629;18.8;18.4;18.0
FAH;20170630;18.2;17.8;17.6
FAH;20170701;17.5;17.3;16.8
FAH;20170702;17.0;16.8;16.4
FAH;20170703;17.9;17.0;17.8
FAH;20170704;19.1;17.8;19.1
FAH;20170705;20.0;18.6;20.1
FAH;20170706;20.9;19.3;21.1
FAH;20170707;21.2;19.7;21.1
FAH;20170708;21.5;20.0;21.5
FAH;20170709;20.9;20.0;20.5
FAH;20170710;20.2;19.4;19.8
FAH;20170711;19.9;19.0;19.5
FAH;20170712;19.8;19.0;19.3
FAH;20170713;19.8;18.8;19.6
FAH;20170714;20.0;19.1;19.6
FAH;20170715;19.3;18.6;18.8
FAH;20170716;19.4;18.6;19.2
FAH;20170717;20.3;19.1;20.2
FAH;20170718;21.0;19.6;21.0
FAH;20170719;21.2;19.9;21.0
FAH;20170720;20.8;19.8;20.4
FAH;20170721;20.6;19.6;20.3
FAH;20170722;20.5;19.5;20.2
FAH;20170723;19.9;19.3;19.2
FAH;20170724;18.7;18.5;17.9
FAH;20170725;18.1;17.8;17.4
FAH;20170726;18.2;17.8;17.6
FAH;20170727;18.2;17.7;17.7
FAH;20170728;18.5;17.8;18.1
FAH;20170729;19.3;18.1;19.2
FAH;20170730;20.1;19.0;19.9
FAH;20170731;20.4;19.2;20.3
FAH;20170801;21.0;19.7;20.9
FAH;20170802;21.8;20.2;22.0
FAH;20170803;22.5;20.9;22.5
FAH;20170804;22.0;20.9;21.6
FAH;20170805;21.0;20.2;20.4
FAH;20170806;20.5;19.8;20.0
FAH;20170807;19.9;19.4;19.2
FAH;20170808;19.4;19.1;18.6
FAH;20170809;18.9;18.5;18.3
FAH;20170810;17.9;17.9;17.0
FAH;20170811;17.3;17.2;16.4
FAH;20170812;17.2;16.9;16.5
FAH;20170813;18.0;17.2;17.7
FAH;20170814;19.2;18.0;19.1
FAH;20170815;19.9;18.7;19.7
FAH;20170816;20.2;19.1;20.1
FAH;20170817;20.4;19.3;20.1
FAH;20170818;19.9;19.2;19.5
FAH;20170819;19.3;18.8;18.7
FAH;20170820;18.6;18.2;17.9
FAH;20170821;18.5;18.0;18.0
FAH;20170822;18.9;18.2;18.5
FAH;20170823;19.6;18.6;19.4
FAH;20170824;20.0;19.0;19.6
FAH;20170825;19.9;18.9;19.7
FAH;20170826;20.2;19.2;19.9
FAH;20170827;20.0;19.1;19.6
FAH;20170828;20.3;19.2;20.2
FAH;20170829;20.6;19.5;20.4
FAH;20170830;20.5;19.6;20.1
FAH;20170831;19.3;19.0;18.4
FAH;20170901;18.2;18.1;17.3
FAH;20170902;17.2;17.3;16.3
FAH;20170903;16.9;16.8;16.3
FAH;20170904;17.4;16.9;16.9
FAH;20170905;18.3;17.4;18.0
FAH;20170906;18.3;17.7;17.6
FAH;20170907;17.3;17.1;16.5
FAH;20170908;16.5;16.5;15.6
FAH;20170909;15.9;16.0;15.0
FAH;20170910;15.9;15.7;15.2
FAH;20170911;15.4;15.5;14.5
FAH;20170912;15.0;15.0;14.1
FAH;20170913;14.7;14.8;14.0
FAH;20170914;14.3;14.5;13.3
FAH;20170915;14.0;14.0;13.3
FAH;20170916;13.6;13.9;12.4
FAH;20170917;12.7;13.1;11.8
FAH;20170918;12.7;12.8;11.9
FAH;20170919;13.1;13.0;12.3
FAH;20170920;13.6;13.2;13.0
FAH;20170921;13.6;13.3;12.9
FAH;20170922;13.8;13.5;13.3
FAH;20170923;14.2;13.7;13.7
FAH;20170924;14.7;14.1;14.3
FAH;20170925;14.8;14.3;14.2
FAH;20170926;14.4;14.1;13.8
