 

stn;time;tso010d0;tso020d0;tso005d0
BAS;20170608;19.7;19.5;20.0
BAS;20170609;20.0;19.9;20.0
BAS;20170610;21.1;20.4;21.5
BAS;20170611;22.1;21.3;22.6
BAS;20170612;22.8;22.1;23.0
BAS;20170613;22.8;22.2;23.1
BAS;20170614;23.1;22.6;23.5
BAS;20170615;23.9;23.1;24.4
BAS;20170616;24.1;23.6;24.4
BAS;20170617;23.5;23.2;23.7
BAS;20170618;23.6;23.2;23.9
BAS;20170619;24.2;23.4;24.6
BAS;20170620;25.2;24.3;25.8
BAS;20170621;25.7;24.7;26.2
BAS;20170622;25.9;25.0;26.4
BAS;20170623;26.1;25.3;26.6
BAS;20170624;25.3;25.0;25.4
BAS;20170625;24.6;24.4;24.7
BAS;20170626;24.7;24.2;25.1
BAS;20170627;24.9;24.4;25.1
BAS;20170628;24.2;24.1;24.1
BAS;20170629;22.7;23.1;22.4
BAS;20170630;22.1;22.4;21.9
BAS;20170701;21.2;21.8;20.7
BAS;20170702;20.3;20.9;19.9
BAS;20170703;21.3;21.0;21.5
BAS;20170704;22.2;21.7;22.6
BAS;20170705;23.3;22.5;23.9
BAS;20170706;24.4;23.4;25.1
BAS;20170707;24.9;24.0;25.4
BAS;20170708;25.4;24.4;26.0
BAS;20170709;24.7;24.5;24.6
BAS;20170710;23.5;23.5;23.4
BAS;20170711;22.8;22.9;22.6
BAS;20170712;22.4;22.5;22.3
BAS;20170713;22.8;22.4;23.1
BAS;20170714;23.0;22.8;23.1
BAS;20170715;22.5;22.5;22.5
BAS;20170716;22.9;22.4;23.2
BAS;20170717;23.9;23.1;24.4
BAS;20170718;24.7;23.8;25.3
BAS;20170719;25.5;24.5;26.0
BAS;20170720;24.9;24.5;25.0
BAS;20170721;24.4;24.1;24.6
BAS;20170722;23.8;23.7;23.7
BAS;20170723;22.6;23.0;22.3
BAS;20170724;21.1;21.8;20.7
BAS;20170725;20.0;20.8;19.5
BAS;20170726;19.5;20.1;19.2
BAS;20170727;20.0;20.2;20.0
BAS;20170728;20.9;20.7;21.1
BAS;20170729;22.0;21.4;22.5
BAS;20170730;23.1;22.5;23.4
BAS;20170731;23.4;22.8;23.7
BAS;20170801;24.1;23.4;24.4
BAS;20170802;24.0;23.5;24.4
BAS;20170803;25.3;24.5;25.7
BAS;20170804;25.2;24.8;25.3
BAS;20170805;24.3;24.2;24.3
BAS;20170806;24.0;23.9;24.1
BAS;20170807;23.7;23.6;23.8
BAS;20170808;22.7;23.1;22.4
BAS;20170809;21.7;22.1;21.5
BAS;20170810;20.2;21.0;19.6
BAS;20170811;19.1;19.9;18.7
BAS;20170812;19.3;19.6;19.3
BAS;20170813;20.4;20.2;20.8
BAS;20170814;21.7;21.1;22.1
BAS;20170815;22.6;22.0;22.9
BAS;20170816;23.0;22.5;23.3
BAS;20170817;23.1;22.8;23.3
BAS;20170818;23.3;23.1;23.5
BAS;20170819;22.6;22.7;22.5
BAS;20170820;21.8;22.0;21.7
BAS;20170821;21.4;21.6;21.4
BAS;20170822;21.6;21.5;21.8
BAS;20170823;22.2;21.9;22.6
BAS;20170824;22.7;22.4;22.8
BAS;20170825;22.7;22.4;22.9
BAS;20170826;23.2;22.8;23.6
BAS;20170827;23.1;22.9;23.3
BAS;20170828;23.4;23.0;23.6
BAS;20170829;23.6;23.2;23.9
BAS;20170830;23.6;23.3;23.8
BAS;20170831;22.3;22.8;21.9
BAS;20170901;20.6;21.3;20.2
BAS;20170902;19.5;20.3;19.0
BAS;20170903;19.1;19.6;18.9
BAS;20170904;19.1;19.4;19.1
BAS;20170905;20.2;19.9;20.5
BAS;20170906;20.5;20.4;20.5
BAS;20170907;19.5;19.9;19.3
BAS;20170908;18.8;19.3;18.5
BAS;20170909;18.0;18.7;17.6
BAS;20170910;18.0;18.3;18.0
BAS;20170911;17.4;18.0;17.0
BAS;20170912;17.0;17.5;16.7
BAS;20170913;16.5;17.1;16.2
BAS;20170914;16.4;17.0;16.1
BAS;20170915;15.9;16.4;15.7
BAS;20170916;15.7;16.3;15.3
BAS;20170917;15.1;15.8;14.7
BAS;20170918;15.1;15.6;14.9
BAS;20170919;15.1;15.6;14.9
BAS;20170920;15.5;15.7;15.6
BAS;20170921;15.2;15.6;15.1
BAS;20170922;15.4;15.6;15.4
BAS;20170923;15.9;16.0;16.0
BAS;20170924;16.5;16.5;16.7
BAS;20170925;16.4;16.5;16.4
BAS;20170926;16.0;16.4;15.9
BAS;20170927;16.7;16.6;16.9
BAS;20170928;17.0;17.0;17.0
BAS;20170929;17.5;17.3;17.8
BAS;20170930;17.4;17.5;17.3
BAS;20171001;16.7;17.0;16.6
BAS;20171002;16.3;16.7;16.2
BAS;20171003;16.6;16.8;16.6
BAS;20171004;15.3;16.0;15.0
BAS;20171005;14.9;15.4;14.8
BAS;20171006;14.7;15.3;14.4
BAS;20171007;14.0;14.6;13.7
BAS;20171008;14.0;14.5;13.7
BAS;20171009;14.1;14.4;14.0
BAS;20171010;13.8;14.2;13.8
BAS;20171011;14.5;14.6;14.6
BAS;20171012;14.5;14.7;14.4
BAS;20171013;14.4;14.6;14.5
BAS;20171014;14.5;14.7;14.5
BAS;20171015;14.6;14.8;14.7
BAS;20171016;14.8;14.9;14.9
BAS;20171017;14.8;14.9;14.8
BAS;20171018;14.4;14.7;14.3
BAS;20171019;14.4;14.6;14.4
BAS;20171020;14.1;14.5;14.0
BAS;20171021;14.8;14.7;14.9
BAS;20171022;13.9;14.6;13.5
BAS;20171023;12.9;13.6;12.5
BAS;20171024;13.2;13.5;13.2
BAS;20171025;13.5;13.7;13.6
BAS;20171026;13.8;13.9;13.8
BAS;20171027;13.4;13.8;13.1
BAS;20171028;11.9;12.8;11.4
BAS;20171029;11.5;12.2;11.2
BAS;20171030;10.9;11.7;10.4
BAS;20171031;9.7;10.8;9.1
BAS;20171101;9.3;10.1;8.9
BAS;20171102;9.8;10.2;9.6
BAS;20171103;10.9;11.0;11.0
BAS;20171104;10.9;11.2;10.8
BAS;20171105;10.9;11.3;10.6
BAS;20171106;9.8;10.6;9.4
BAS;20171107;9.2;10.0;8.7
BAS;20171108;8.9;9.6;8.6
BAS;20171109;8.8;9.4;8.5
BAS;20171110;8.7;9.2;8.4
BAS;20171111;8.8;9.3;8.7
BAS;20171112;9.3;9.6;9.1
BAS;20171113;8.4;9.2;8.0
BAS;20171114;8.1;8.8;7.8
BAS;20171115;7.4;8.2;6.9
BAS;20171116;6.8;7.7;6.3
BAS;20171117;6.7;7.4;6.4
BAS;20171118;7.0;7.5;6.7
BAS;20171119;6.8;7.4;6.4
BAS;20171120;6.4;7.1;6.1
BAS;20171121;6.8;7.1;6.6
BAS;20171122;6.7;7.2;6.5
BAS;20171123;6.7;7.1;6.5
BAS;20171124;7.4;7.5;7.4
BAS;20171125;7.9;8.1;7.7
BAS;20171126;6.8;7.5;6.3
BAS;20171127;6.4;7.0;6.0
BAS;20171128;6.5;7.0;6.2
BAS;20171129;6.2;6.8;5.8
BAS;20171130;5.6;6.4;5.2
BAS;20171201;5.0;5.9;4.6
BAS;20171202;4.7;5.5;4.3
BAS;20171203;4.4;5.2;3.9
BAS;20171204;4.4;5.0;4.1
BAS;20171205;4.7;5.1;4.4
BAS;20171206;4.7;5.2;4.3
BAS;20171207;3.9;4.8;3.5
BAS;20171208;4.2;4.7;4.0
BAS;20171209;3.8;4.6;3.4
BAS;20171210;3.3;4.0;2.9
BAS;20171211;4.2;4.4;4.2
BAS;20171212;4.5;4.8;4.2
BAS;20171213;3.4;4.2;3.0
BAS;20171214;4.3;4.5;4.2
BAS;20171215;4.3;4.7;4.2
BAS;20171216;4.1;4.6;3.9
BAS;20171217;3.8;4.4;3.5
BAS;20171218;3.4;4.1;3.0
BAS;20171219;3.4;3.9;3.1
BAS;20171220;3.7;4.1;3.6
BAS;20171221;4.1;4.4;4.1
BAS;20171222;4.9;4.9;5.0
BAS;20171223;5.6;5.5;5.6
BAS;20171224;5.6;5.8;5.6
BAS;20171225;5.4;5.7;5.2
BAS;20171226;4.5;5.1;4.1
BAS;20171227;4.2;4.7;3.9
BAS;20171228;4.0;4.6;3.6
BAS;20171229;3.6;4.2;3.2
BAS;20171230;4.3;4.4;4.4
BAS;20171231;6.1;5.7;6.4
BAS;20180101;6.0;6.0;5.9
BAS;20180102;5.7;5.9;5.5
BAS;20180103;6.2;6.2;6.2
BAS;20180104;6.4;6.4;6.5
BAS;20180105;7.3;7.1;7.5
BAS;20180106;7.4;7.4;7.5
BAS;20180107;7.1;7.3;7.1
BAS;20180108;6.5;6.9;6.2
BAS;20180109;6.1;6.5;5.9
BAS;20180110;5.7;6.2;5.4
BAS;20180111;5.7;6.0;5.6
BAS;20180112;6.0;6.2;5.9
BAS;20180113;5.7;6.1;5.4
BAS;20180114;4.4;5.3;3.9
BAS;20180115;3.7;4.5;3.4
BAS;20180116;4.9;4.9;5.0
BAS;20180117;4.7;5.2;4.4
BAS;20180118;4.8;5.0;4.7
BAS;20180119;5.4;5.5;5.3
BAS;20180120;5.0;5.3;4.9
BAS;20180121;5.6;5.7;5.5
BAS;20180122;5.9;5.8;6.0
BAS;20180123;6.5;6.5;6.5
BAS;20180124;6.5;6.5;6.5
BAS;20180125;6.3;6.5;6.2
BAS;20180126;6.5;6.6;6.4
BAS;20180127;6.5;6.6;6.4
BAS;20180128;6.8;6.8;6.8
BAS;20180129;7.1;7.1;7.1
BAS;20180130;7.3;7.3;7.4
BAS;20180131;7.2;7.4;7.1
BAS;20180201;6.7;7.1;6.4
BAS;20180202;5.6;6.3;5.1
BAS;20180203;4.9;5.6;4.5
BAS;20180204;4.5;5.1;4.2
BAS;20180205;4.4;5.0;4.2
BAS;20180206;4.1;4.7;3.8
BAS;20180207;3.7;4.4;3.3
BAS;20180208;3.5;4.1;3.3
BAS;20180209;3.8;4.1;3.6
BAS;20180210;3.8;4.3;3.6
BAS;20180211;3.7;4.2;3.5
BAS;20180212;3.8;4.2;3.6
BAS;20180213;3.2;3.9;2.8
BAS;20180214;2.9;3.5;2.6
BAS;20180215;2.8;3.3;2.5
BAS;20180216;4.0;3.9;4.1
BAS;20180217;4.4;4.6;4.4
BAS;20180218;3.9;4.3;3.7
BAS;20180219;3.7;4.1;3.5
BAS;20180220;3.6;4.0;3.4
BAS;20180221;3.4;3.9;3.2
BAS;20180222;2.9;3.6;2.5
BAS;20180223;2.3;3.0;2.0
BAS;20180224;2.3;2.8;2.1
BAS;20180225;2.3;2.8;2.0
BAS;20180226;1.6;2.4;1.1
BAS;20180227;1.1;1.9;0.6
BAS;20180228;0.8;1.6;0.4
BAS;20180301;0.7;1.4;0.4
BAS;20180302;0.7;1.3;0.3
BAS;20180303;0.7;1.3;0.4
BAS;20180304;1.0;1.3;0.9
BAS;20180305;2.7;2.3;3.0
BAS;20180306;3.6;3.4;3.8
BAS;20180307;4.1;4.0;4.2
BAS;20180308;4.8;4.5;5.1
BAS;20180309;5.8;5.4;6.2
BAS;20180310;6.5;6.2;6.8
BAS;20180311;7.0;6.6;7.2
BAS;20180312;7.1;6.9;7.3
BAS;20180313;7.1;7.1;7.1
BAS;20180314;7.6;7.2;7.9
BAS;20180315;7.4;7.4;7.3
BAS;20180316;7.3;7.3;7.4
BAS;20180317;6.7;7.1;6.4
BAS;20180318;5.6;6.2;5.2
BAS;20180319;4.7;5.4;4.4
BAS;20180320;4.4;4.8;4.1
BAS;20180321;4.5;4.8;4.4
BAS;20180322;4.2;4.7;4.0
BAS;20180323;5.3;5.2;5.5
BAS;20180324;6.1;5.9;6.4
BAS;20180325;6.9;6.6;7.2
BAS;20180326;7.3;7.2;7.4
BAS;20180327;7.7;7.5;7.9
BAS;20180328;8.3;8.0;8.5
